Document,Primary Introducer,Status,Description,Document ID,Year
LB596,Kopplin,Final Reading,Change benefit and contribution provisions for school retirement systems,995,2007
LB597,Kopplin,Indefinitely postponed,Change provisions relating to zoning and jurisdiction designations for cities of the first class,723,2007
LB598,Karpisek,Indefinitely postponed,Provide for Shriners license plates,826,2007
LB599,Aguilar,Indefinitely postponed,Permit the filing of voluntary acknowledgement of parentage in cases of gestational surrogacy,447,2007
LB600,Raikes,Indefinitely postponed,Provide for educational service unit boundary changes,124,2007
LB601,Raikes,Indefinitely postponed,Create the Educational Service Unit Coordinating Council,1022,2007
LB602,Raikes,Indefinitely postponed,Establish election districts for educational service unit boards,917,2007
LB603,Raikes,Final Reading,Change provisions relating to educational service units and early childhood education grants,932,2007
LB603A,Education Committee ,Final Reading,Appropriations bill,2270,2007
LB604,Raikes,Indefinitely postponed,Change educational service units' taxing authority,746,2007
LB605,Raikes,Indefinitely postponed,Change tax levy and distribution provisions relating to educational service units,745,2007
LB606,Ashford,Passed,Adopt the Stem Cell Research Act,954,2007
LB607,Ashford,Indefinitely postponed,Provide a requirement for full-time fire personnel in certain cities of the first class,829,2007
LB608,Raikes,Indefinitely postponed,Change the sales tax rate,991,2007
LB609,Carlson,Passed,Provide additional purposes for the Building Entrepreneurial Communities Act,967,2007
LB609A,Carlson,Passed,Eliminate school finance litigation appropriation to Attorney General,2576,2007
LB610,Legislative Performance Audit Committee ,Final Reading,Provide documentation and recordkeeping requirements for the Department of Health and Human Services regarding sex offenders,884,2007
LB611,Nebraska Retirement Systems Committee ,Indefinitely postponed,Change Nebraska State Patrol retirement contribution and payment provisions,708,2007
LB612,Nebraska Retirement Systems Committee ,Indefinitely postponed,Redefine compensation for school employees retirement systems,713,2007
LB613,Nebraska Retirement Systems Committee ,Indefinitely postponed,Change deposit provisions of school employees retirement systems,714,2007
LB614,Raikes,Indefinitely postponed,Change adjusted valuation provisions under the Tax Equity and Educational Opportunities Support Act,697,2007
LB615,Raikes,Indefinitely postponed,Provide for a system of tracking student achievement,820,2007
LB616,Pedersen,Indefinitely postponed,Eliminate a provision relating to regional behavioral health authorities,786,2007
LB617,Pedersen,Indefinitely postponed,Change provisions relating to children's behavioral health,1000,2007
LB618,Pirsch,Indefinitely postponed,Authorize State Treasurer to collect certain bad debt fees electronically,1007,2007
LB619,Pirsch,Passed,Change provisions relating to bad debt charges by the State Treasurer,1009,2007
LB620,Pirsch,Passed,Change provisions relating to debt collection by the State Disbursement Unit and by state agencies,1008,2007
LB621,Pirsch,Passed,Change provisions relating to points and fines for speeding,816,2007
LB622,Pirsch,Indefinitely postponed,"Require training courses in public records and the Open Meetings Act for all members of a public body, public officers, and public employees",410,2007
LB623,Pirsch,Passed,Change provisions relating to speedy trial,603,2007
LB624,Pirsch,Passed,Change provisions relating to operating a motor vehicle to avoid arrest,773,2007
LB625,Engel,Indefinitely postponed,Prohibit civil actions based upon weight gain,810,2007
LB626,Dierks,Indefinitely postponed,Create a production incentive for biodiesel fuel,1057,2007
LB627,Dierks,Indefinitely postponed,Redefine real property and tangible personal property for purposes of taxation,1056,2007
LB628,Dierks,Indefinitely postponed,"Change budget provisions and levy limitations for cities, villages, and counties",888,2007
LB629,Dierks,Final Reading,Adopt the Rural Community-Based Energy Development Act,529,2007
LB629A,Dierks,Final Reading,Appropriations bill,2693,2007
LB630,Dierks,Indefinitely postponed,Change provisions relating to freeholder petitions,386,2007
LB631,Dierks,Indefinitely postponed,Prohibit interchange of anti-epileptic drugs,446,2007
LB632,Dierks,Passed,Change provisions relating to the national uniform system of animal identification,970,2007
LB633,Dierks,Indefinitely postponed,Change the Competitive Livestock Markets Act,402,2007
LB634,Dierks,Indefinitely postponed,Adopt the Feedlot Statutory Trust Act,972,2007
LB635,Dierks,Withdrawn,Provide for financial compensation for caregiving family members under the Disabled Persons and Family Support Act,1058,2007
LB636,Natural Resources Committee ,Final Reading,Exempt certain entities from sealed bidding requirements,730,2007
LB637,General Affairs Committee ,Indefinitely postponed,Change procurement provisions under the State Lottery Act,282,2007
LB638,General Affairs Committee ,Final Reading,"Change and eliminate provisions relating to bingo, lotteries, and raffles",281,2007
LB639,Raikes,Indefinitely postponed,Change powers and duties of county attorneys,993,2007
LB640,Raikes,Indefinitely postponed,Authorize a learning community levy for certain approved capital projects,877,2007
LB641,Raikes,Final Reading,"Change provisions relating to schools, learning communities, school governance, and school finance ",876,2007
LB642,Raikes,Indefinitely postponed,Change educational service units' role and mission provisions,823,2007
LB643,Raikes,Indefinitely postponed,Change the Tax Equity and Educational Opportunities Support Act to eliminate certain income tax provisions ,698,2007
LB644,Raikes,Indefinitely postponed,Provide for summer school student units in the state aid formula,1029,2007
LB645,Heidemann,Indefinitely postponed,Change Nebraska Liquor Control Act provisions to exempt a bed and breakfast establishment from  an occupation tax,861,2007
LB646,Nelson,Final Reading,Change provisions relating to elections,969,2007
LB647,Johnson,Indefinitely postponed,Change provisions relating to insurance coverage of mental health and physical health conditions,784,2007
LB648,Preister,Indefinitely postponed,Provide tax credits relating to wind energy projects,980,2007
LB649,Raikes,Indefinitely postponed,Modify the state aid formula under the Tax Equity and Educational Opportunities Support Act,1021,2007
LB650,Raikes,Indefinitely postponed,Change provisions relating to early childhood education and the Special Education Act,1082,2007
LB651,Raikes,Indefinitely postponed,Change and eliminate education provisions,495,2007
LB652,White,Indefinitely postponed,Require the state and political subdivisions to do energy audits,983,2007
LB653,Raikes,Final Reading,Require implementation of a statewide school assessment and reporting system and other standards and tracking methods,743,2007
LB654,Raikes,Indefinitely postponed,Transfer veterans education and training duties to the State Department of Education,445,2007
LB655,Raikes,Indefinitely postponed,Change state aid to school provisions relating to adjustments on budget statements,821,2007
LB656,Raikes,Indefinitely postponed,Provide for temporary funding related to distance education,456,2007
LB657,Raikes,Indefinitely postponed,Change provisions relating to distance education,994,2007
LB658,Raikes,Final Reading,Change provisions relating to Class I and Class VI school districts,822,2007
LB659,Pedersen,Indefinitely postponed,Increase the salaries of Supreme Court judges,959,2007
LB660,Transportation and Telecommunications Committee ,Indefinitely postponed,Change the Nebraska Telecommunications Universal Services Fund Act,626,2007
LB661,Transportation and Telecommunications Committee ,Final Reading,Change provisions relating to telecommunications,628,2007
LB662,Hudkins,Indefinitely postponed,Change distribution of certain sales tax revenue,591,2007
LB663,Hudkins,Indefinitely postponed,Change distribution and allocation of motor vehicle registration fees,902,2007
LB663A,Hudkins,Indefinitely postponed,Appropriations bill,1658,2007
LB664,Hudkins,Final Reading,Eliminate an exemption from licensure as a geologist,622,2007
LB665,Karpisek,Indefinitely postponed,Provide for the election of cash  balance benefits for state and county employees ,716,2007
LB666,Pedersen,Indefinitely postponed,Provide for eligibility for certain federal programs upon release from incarceration as prescribed ,918,2007
LB667,Pedersen,Indefinitely postponed,Permit municipalities to allow pedestrians to solicit contributions on roadways,901,2007
LB668,Hudkins,Passed,Eliminate provisions relating to gift cards and gift certificates,843,2007
LB669,Hudkins,Indefinitely postponed,Adopt the Nebraska Behavioral Health Jail Diversion Planning and Coordination Advisory Council Act,825,2007
LB670,Hudkins,Indefinitely postponed,Create the Council on the Management and Treatment of Sex Offenders,824,2007
LB671,Pedersen,Indefinitely postponed,Adopt the Office of Probation and Parole Administration,724,2007
LB672,Lathrop,Indefinitely postponed,Change eminent domain provisions relating to municipal utilities,1078,2007
LB673,Lathrop,Indefinitely postponed,"Modify the definition of malpractice or professional neglect to include sexual abuse, misconduct, or exploitation",478,2007
LB674,Lathrop,Select File,Adopt the Credit Report Protection Act and prohibit certain uses of social security numbers ,869,2007
LB675,Lathrop,Indefinitely postponed,Require disclosures by pharmaceutical manufacturing companies,774,2007
LB676,Dubas,Indefinitely postponed,Prohibit the blocking of railroad crossings for more than a specified time and to provide penalties,1014,2007
LB677,Dubas,Final Reading,Change inspection requirements and late fees under the Livestock Waste Management Act,975,2007
