Document,Primary Introducer,Status,Description,Document ID,Year
LB255A,McCollister,General File,Appropriation Bill,42343,2020
LB310A,Vargas,Passed,Appropriation Bill,41575,2020
LB329A,Bolz,General File,Appropriation Bill,42180,2020
LB518A,Linehan,Select File,Appropriation Bill,41968,2020
LB563A,Bolz,General File,Appropriation Bill,42531,2020
LB734A,Hunt,Passed,Appropriation Bill,40969,2020
LB740,"Executive Board: Hilgers, Chairperson",Passed,Revisor bill to repeal obsolete provisions relating to transfers of funds,41246,2020
LB741,"Executive Board: Hilgers, Chairperson",Passed,Revisor bill to repeal obsolete provisions relating to the Subsidized Employment Pilot Program,41247,2020
LB742,Blood,Referral,"Change penalty, sentencing, and hearing application provisions relating to offenses against animals",40655,2020
LB743,Blood,Referral,Adopt updated electrical standards,40822,2020
LB744,Blood,Referral,Authorize appointment of county engineer in certain counties and change powers and duties,41132,2020
LB745,Blood,General File,Provide duties for law enforcement and prosecutors regarding federal immigration forms relating to victims of certain crimes,40721,2020
LB746,Blood,Referral,Adopt the Nebraska Consumer Data Privacy Act,40714,2020
LB747,Blood,Referral,Change the definition of microbusiness under the Nebraska Advantage Microenterprise Tax Credit Act,40716,2020
LB748,Blood,Referral,Adopt the Fertility Fraud Act,40677,2020
LB749,Blood,Referral,Adopt the Nebraska Anti-Terrorism Act,40701,2020
LB750,Blood,Referral,Prohibit discrimination based on military or veteran status,40662,2020
LB751,Blood,Select File,Provide for a mental health exception to compulsory education requirements,40733,2020
LB752,Blood,General File,Provide duties and programs relating to veterans,40665,2020
LB753,Blood,Referral,Adopt the Audiology and Speech-Language Pathology Interstate Compact,40658,2020
LB754,Blood,Withdrawn,Provide for a new certificate of birth and amendment of a certificate of birth,40660,2020
LB755,Blood,Select File,"Change provisions relating to home services under the Cosmetology, Electrology, Esthetics, Nail Technology, and Body Art Practice Act and Barber Act; physician assistants under the Medicine and Surgery Practice Act and the Podiatry Practice Act; membership of the Board of Medicine and Surgery; infant screening testing; Parkinson’s disease drug reporting; and the Engineers and Architects Regulation Act",40694,2020
LB756,Blood,Referral,Authorize persons eighteen years of age or older to buy and sell stocks and bonds,40702,2020
LB757,Blood,Referral,Prohibit certain fraudulent acts under the Nebraska Criminal Code and the Insurance Fraud Act,40706,2020
LB758,Scheer,General File,Name the State Capitol courtyards,41217,2020
LB759,Kolterman,Referral,Require consultation with school districts regarding placement of children,40957,2020
LB760,Kolterman,Select File,Require health carriers to provide coverage for asynchronous review by a dermatologist by way of telehealth,41024,2020
LB761,Dorn,Referral,Change motor vehicle registration fees and provide funding for the simulation in motion program,40857,2020
LB762,Dorn,Referral,Provide for transfers to the Hall of Fame Trust Fund,41006,2020
LB763,Dorn,General File,Change provisions relating to certain payments of funds to townships,41001,2020
LB764,Lindstrom,General File,Change investment provisions for fiduciaries,40856,2020
LB765,Lindstrom,Withdrawn,Eliminate a duty of the Attorney General with respect to prosecution of certain workers' compensation report violations,40999,2020
LB766,Lindstrom,Referral,"Prohibit sexual assault of a minor by an authority figure, change statute of limitations for failure to make a report of child abuse or neglect, and change provisions relating to sexual offenses",40832,2020
LB767,Lindstrom,General File,Change provisions on breach of warranty on improvements to real property and provisions under the Nebraska Condominium Act,41228,2020
LB768,Albrecht,General File,Adopt and update references to federal transportation laws,40897,2020
LB769,Gragert,General File,Change provisions relating to membership on the Nebraska Natural Resources Commission,40828,2020
LB770,Gragert,Final Reading,Provide for state park permits  for disabled veterans and change nonresident fees for state park permits,40997,2020
LB771,Gragert,Referral,Change a one-license-plate registration provision,40742,2020
LB772,Williams,Referral,Change the scope of practice for physician assistants,40829,2020
LB773,Williams,Referral,Appropriate funds for the Rural Workforce Housing Investment Fund,41183,2020
LB774,Williams,Select File,"Change provisions relating to reinsurance, motor vehicle service contract reimbursement insurance, and fees for dental services and prohibit certain activities by health care facilities",40927,2020
LB775,Williams,General File,Change Real Property Appraiser Act provisions,40791,2020
LB776,DeBoer,Referral,Allow expert testimony on eyewitness identification and memory,40816,2020
LB777,DeBoer,Referral,Provide for set-asides of infractions and violations of city and village ordinances and county resolutions,40937,2020
LB778,Stinner,Referral,State intent regarding appropriations for the Rural Health Systems and Professional Incentive Act,40845,2020
LB779,Stinner,Referral,State intent regarding appropriations to the Department of Health and Human Services ,41200,2020
LB780,Stinner,Select File,Provide duties for the Nebraska Arts Council regarding creative districts and change provisions relating to the Nebraska Arts and Humanities Cash Fund,40975,2020
LB780A,Stinner,Select File,Appropriation Bill,42267,2020
LB781,Stinner,General File,Provide for annual continuing education for treasurers of certain local governments and provide a duty for the Auditor of Public Accounts,40881,2020
LB782,Stinner,General File,Change certified public accountant examination provisions,40989,2020
LB783,Lowe,General File,Change the definition of ambulatory surgical center,41017,2020
LB784,Friesen,Referral,Change provisions regarding odometer statements,41208,2020
LB785,Friesen,General File,"Change vehicle size, weight, and load provisions, provide for stinger-steered automobile transporters and towaway trailer transporter combinations, and define emergency vehicle",40847,2020
LB786,Lathrop,Referral,"Change rules on the use of restrictive housing and require screenings of inmates for serious mental illness, developmental disabilities, and traumatic brain injuries",41127,2020
LB787,Lathrop,Withdrawn,Construe applicability of certain uninsured and underinsured motor vehicle insurance coverages,41242,2020
LB788,Slama,General File,Change and eliminate provisions relating to the Department of Labor,40872,2020
LB789,Slama,Referral,Change school bus stop signal arm violation provisions,40977,2020
LB790,Slama,Select File,Change the Political Subdivisions Construction Alternatives Act and certain state bidding requirements and contract approval procedures,40925,2020
LB791,Slama,Referral,"Change provisions of the Livestock Animal Welfare Act relating to ownership, possession, or seizure of animals",40777,2020
LB792,Slama,Referral,"Allow for the combination or aggregation of cocaine, base cocaine, heroin, amphetamine or methamphetamine amounts for two or more controlled substance violations ",40972,2020
LB793,Slama,Referral,Change penalty and statute of limitation provisions relating to public assistance violations,40671,2020
LB794,"Hansen, M.",Referral,Adopt the Missing Middle Housing Act and provide zoning regulation requirements for certain cities,40998,2020
LB795,"Hansen, M.",General File,Change provisions relating to enterprise zones,40760,2020
LB796,"Hansen, M.",Referral,Change provisions relating to claims against a city of the primary class,41170,2020
LB797,"Hansen, M.",Select File,Change restrictions on municipal annexation,41040,2020
LB798,Brandt,Referral,Provide for the anonymity of certain state lottery prize winners,40920,2020
LB799,Urban Affairs Committee,General File,Change provisions relating to cities of the primary class,40722,2020
LB800,Urban Affairs Committee,General File,Provide for the applicability of state and local construction codes,40814,2020
LB801,Urban Affairs Committee,General File,Change and eliminate provisions of the Community Development Law,40905,2020
LB802,Hughes,Referral,State a legislative finding and declaration relating to the right to use ground water,40991,2020
LB803,Hughes,Select File,Adopt the Pulse Crop Resources Act and harmonize other provisions of law,40852,2020
LB803A,Hughes,Select File,Appropriation Bill,42182,2020
LB804,Wayne,Referral,Provide for insurance coverage of epinephrine autoinjectors,40726,2020
LB805,Wayne,General File,Provide an income tax deduction for certain wages paid to individuals convicted of a felony,41216,2020
LB805A,Wayne,General File,Appropriation Bill,42272,2020
LB806,Wayne,Referral,Exempt social security benefits and retirement benefits from taxation as prescribed,41012,2020
LB807,La Grone,General File,Change a duty of the Auditor of Public Accounts relating to government auditing standards,40793,2020
LB808,La Grone,Select File,"Change provisions relating to accountants, provide for the ratification of defective corporate actions under the Nebraska Model Business Corporation Act, adopt the Uniform Trust Decanting Act, change provisions relating to actions on breach of warranty on improvements to real property and change  provisions under the Nebraska Condominium Act, change and eliminate provisions relating to the Real Property Appraiser Act, redefine the term security to include certain student loans under the Public Funds Deposit Security Act, and provide an exemption to the Nebraska Real Estate License Act as prescribed",41168,2020
LB809,Wayne,General File,Adopt 2018 Uniform Plumbing Code standards,40812,2020
LB810,McCollister,Referral,"Impose sales tax on bottled water, candy, and soft drinks",41227,2020
LB811,McCollister,Referral,Change pharmacist reporting requirements under the Parkinson's Disease Registry Act,41252,2020
LB812,McCollister,Referral,Change acceptable ranges and authorize orders for rehearings under the Tax Equalization and Review Commission Act,41219,2020
LB813,Bolz,Referral,State intent regarding appropriations for apprenticeships and provide powers for the Department of Labor,40855,2020
LB814,Geist,Referral,Prohibit dismemberment abortion,41115,2020
LB815,Morfeld,Referral,Prohibit certain section 1115 waivers under the Medical Assistance Act,41187,2020
LB816,McCollister,Referral,Provide for information and training on firearm safety and suicide prevention and place restrictions and requirements on certain transfers of firearms,40943,2020
LB817,Stinner,Referral,Adopt the Prescribing Psychologist Practice Act,40830,2020
LB818,Brewer,Referral,Adjust the nameplate capacity tax for inflation,40935,2020
LB819,Brewer,Referral,Change provisions relating to the taxation of benefits received under the federal Social Security Act,40779,2020
LB820,Brewer,General File,Change required information on the voter registration application,41027,2020
LB821,Brewer,General File,Change provisions relating to city or village planning commission meetings,41134,2020
LB822,Brewer,General File,Change recall petition and election provisions,41028,2020
LB823,Brewer,Referral,Provide for a special election prior to the exercise of eminent domain for transmission lines in certain circumstances,40936,2020
LB824,Hunt,General File,Change provisions related to state and local building codes,40670,2020
LB825,Hilkemann,Referral,Change provisions relating to infant health screenings,40873,2020
LB826,Hilkemann,Referral,Provide for and eliminate transfers from the Charitable Gaming Operations Fund,40949,2020
LB827,Hilkemann,Referral,Appropriate funds to the Department of Health and Human Services,41070,2020
LB828,Hilkemann,Referral,Change provisions relating to the scope of practice of a licensed optometrist,41133,2020
LB829,Erdman,Referral,Change provisions relating to certain in lieu of tax payments made by the Game and Parks Commission,41074,2020
LB830,Erdman,Referral,Change provisions relating to the establishment of speed limits by local authorities,41253,2020
LB831,Bostelman,General File,Change certificate of title provisions for a junked vehicle,41121,2020
LB832,Bostelman,Select File,Provide immunity from civil liability for entering a vehicle to remove a child,40942,2020
LB833,Crawford,Referral,Exclude certain elderly care programs from the Health Care Facility Licensure Act,40785,2020
LB834,Arch,Referral,Change provisions of the Engineers and Architects Regulation Act,40669,2020
LB835,Halloran,Select File,Change provisions of the Nebraska Pure Food Act and the Weights and Measures Act,40850,2020
LB836,Arch,Referral,Change provisions governing certain contracts and agreements relating to the medical assistance program,41139,2020
LB837,Arch,Referral,Change provisions relating to background checks under the Child Care Licensing Act and the Children's Residential Facilities and Placing Licensure Act,40904,2020
LB838,Arch,Referral,Provide an exemption from licensure under the Medicine and Surgery Practice Act,41222,2020
LB839,Wishart,Referral,Recognize American Sign Language and provide for the teaching of American Sign Language in schools,41294,2020
LB840,Quick,Select File,Prohibit the use of electronic smoking devices as prescribed under the Nebraska Clean Indoor Air Act,40824,2020
LB841,Crawford,Referral,Change provisions relating to certain certifications for homestead exemptions,41324,2020
LB842,Crawford,Referral,Change provisions relating to motor vehicle tax imposed on military servicemembers,40788,2020
LB843,Cavanaugh,Referral,Provide for Donate Life license plates,40958,2020
LB844,Clements,Referral,Eliminate certain notice requirements relating to construction liens,41036,2020
LB845,Groene,Referral,Change procedures for water augmentation projects under an integrated management plan,40970,2020
LB846,Quick,Referral,Change provisions relating to compensation under the Nebraska Workers' Compensation Act,40770,2020
LB847,Arch,Referral,Change requirement for dispensing drugs in certain health care facilities,41114,2020
LB848,Pansing Brooks,Select File,Rename Columbus Day as Indigenous Peoples' Day and Columbus Day and change the Young Adult Bridge to Independence Act as it relates to Indian tribes,40988,2020
LB848A,Pansing Brooks,Select File,Appropriation Bill,42429,2020
LB849,Pansing Brooks,General File,Change eligibility requirements under the Young Adult Bridge to Independence Act,41231,2020
LB849A,Pansing Brooks,General File,Appropriation Bill,42181,2020
LB850,Pansing Brooks,Select File,Authorize placement of a monument to the First Regiment Nebraska Volunteer Infantry at Fort Donelson National Battlefield,41043,2020
LB851,McCollister,Referral,Change provisions relating to eligibility for services under the Medical Assistance Act,41153,2020
LB852,Williams,General File,Change farm product lien provisions and actions relating to termination statements,41029,2020
LB853,Williams,General File,Authorize financial institutions to place a hold on certain customer transactions in cases of financial exploitation,41033,2020
LB854,Williams,General File,Change provisions under the Public Funds Deposit Security Act relating to secured deposits and pooled collateral,41038,2020
LB855,Moser,Referral,Eliminate legislative confirmation for certain members of the Niobrara Council,40868,2020
LB856,Moser,Referral,Extend sunset of the Petroleum Release Remedial Action Cash Fund,41113,2020
LB857,Lowe,Referral,Require state agency review of rules and regulations,41279,2020
LB858,Hughes,Final Reading,"Change provisions of the Municipal Cooperative Financing Act, the Petroleum ,2020
Release Remedial Action Act, the Niobrara Scenic River Act, and the Nebraska Litter Reduction and Recycling Act",40740,2020
LB859,Hughes,Indefinitely postponed,Change provisions relating to qualifications and terms of office for certain Game and Parks Commission members,40931,2020
LB860,Hughes,Referral,Change Game and Parks Commission district limits and designations as prescribed,41005,2020
LB861,Hughes,General File,Change provisions of the Integrated Solid Waste Management Act with respect to consumer merchandise and containers,40869,2020
LB862,Hughes,Referral,Prohibit possession by minors of tobacco and nicotine products,40902,2020
LB863,Hughes,Referral,Limit ownership of land by the Game and Parks Commission,41220,2020
LB864,Wayne,Referral,Adopt the Bed Bug Detection and Treatment Act for cities of the metropolitan class,40917,2020
LB865,Wayne,Select File,Provide for contributions of income tax refunds to accounts established under  the Nebraska educational savings plan trust,41011,2020
LB865A,Wayne,Select File,Appropriation Bill,42271,2020
LB866,Wayne,General File,Adopt the Density Bonus and Inclusionary Housing Act,40806,2020
LB867,"Hansen, M.",Referral,Adopt the Local Option Municipal Childcare Financing Act,41240,2020
LB868,Lathrop,Referral,Change provisions relating to mediators under the Parenting Act,41212,2020
LB869,Lathrop,Referral,Provide for issuance of subpoenas in civil proceedings in foreign jurisdictions and change provisions relating to subpoenas and witness fees,40929,2020
LB870,Crawford,Final Reading,Change provisions relating to direct borrowing by cities and villages,41034,2020
LB871,Crawford,Referral,Change unconscionability provisions under the Uniform Deceptive Trade Practices Act,40973,2020
LB872,Hunt,Referral,Eliminate requirements for the provision of information and materials regarding finding medical assistance and continuing a viable  pregnancy after taking mifepristone,40940,2020
LB873,Hunt,Referral,Provide for a gender neutral designation on operator's licenses and state identification cards and provide for amendment of a birth certificate,40960,2020
LB874,Howard,Referral,Restate intent regarding funding programs from the Nebraska Health Care Cash Fund,40876,2020
LB875,Howard,Referral,Require a medicaid state plan amendment for outpatient assisted therapy,41065,2020
LB876,Walz,General File,Change provisions of the Community Development Law relating to limitations on blighted areas,40764,2020
LB877,Walz,Referral,State intent regarding appropriations for aging and disability resource centers,41042,2020
LB878,Walz,Referral,Redefine immediate family and change conflict of interest provisions under the Nebraska Political Accountability and Disclosure Act,40933,2020
LB879,Geist,General File,Eliminate funding for the Nebraska Advantage Microenterprise Tax Credit Act and change the termination date for applications,41185,2020
LB880,Groene,Passed,Change dates related to certifications and distributions of state aid to schools,41257,2020
LB881,"Hansen, M.",Select File,"Require a report on untested sexual assault evidence ,2020
collection kits, and change provisions relating to evidence, ,2020
bail, grand jury transcripts, competency, alternate jurors, ,2020
pretrial detention, collection of fines and costs, and ,2020
setting aside of convictions,2020
,2020
,2020
",40698,2020
LB882,"Hansen, M.",Referral,Change provisions relating to marriage and annulments,40827,2020
LB883,"Hansen, M.",Referral,Change procedures relating to obligors and obligees in child support proceedings,41259,2020
LB884,Lindstrom,Referral,Provide for legal effect of a publication concerning liability insurance,41193,2020
LB885,Bolz,General File,Change requirements for grant applications under the Civic and Community Center Financing Act,41195,2020
LB886,Arch,General File,Prohibit certain acts by health insurers and network providers and list a deceptive trade practice,40985,2020
LB887,Arch,Referral,Authorize pharmacists to adapt prescriptions to aid consumers,41244,2020
LB888,Hilgers,General File,Change State Tort Claims Act provisions relating to authority of the Risk Manager and State Claims Board,40673,2020
LB889,Hilgers,Select File,Change appeal provisions under the Administrative Procedure Act,40675,2020
LB890,Hilgers,General File,"Provide for water, wastewater, utility, and sewer construction projects under the Political Subdivisions Construction Alternatives Act",41119,2020
LB891,Hilgers,Referral,Provide an income tax credit for overtime pay,40748,2020
LB892,Hilgers,Referral,Change individual income tax brackets,41159,2020
LB893,Bostelman,Referral,Change provisions relating to emergency care providers and provide for community paramedicine and critical care paramedics,41112,2020
LB894,Stinner,Referral,Appropriate funds for community college aid,41174,2020
LB895,Morfeld,Referral,Change provisions related to decedents' estates,40803,2020
LB896,Erdman,Referral,Require notice of construction and expansion of structures near military installations as prescribed,41162,2020
LB897,Cavanaugh,Referral,Appropriate funds for behavioral health aid,41334,2020
LB898,Friesen,Referral,Provide for the collocation of certain wireless facilities,41158,2020
LB899,Hughes,Select File,Provide certain powers for public power districts relating to fuels and fuel byproducts,41169,2020
LB900,Cavanaugh,Referral,Provide for the ownership of an unfertilized human ovum,41312,2020
LB901,Cavanaugh,Referral,Appropriate funds for the Nebraska Perinatal Quality Improvement Collaborative,41268,2020
LB902,Pansing Brooks,General File,Adopt the Uniform Trust Decanting Act,41075,2020
LB903,Kolowski,Referral,Provide for Down Syndrome Awareness license plates,40656,2020
LB904,Bolz,Withdrawn,Provide for use of the Water Sustainability Fund for sustainable use of water in food production and transfer General Funds,40668,2020
LB905,DeBoer,Referral,Provide for a fee on single-use checkout bags and for a program to provide reusable checkout bags to the public,41067,2020
LB906,DeBoer,Referral,"Provide requirements and restrictions on maintenance, release, and use of video recordings of forensic interviews of children",41274,2020
LB907,DeBoer,Referral,Change provisions relating to adoptions,41315,2020
LB908,Williams,General File,Change provisions of the Delayed Deposit Services Licensing Act,40667,2020
LB909,Williams,Final Reading,Change provisions relating to banking and finance,41299,2020
LB910,Stinner,General File,"Provide for, change, eliminate, and change distribution of fees and funds of the Secretary of State",41026,2020
LB911,Quick,Select File,Provide for acquisition of former Nebraska Veterans' Memorial Cemetery in Grand Island,40884,2020
LB911A,Quick,Select File,Appropriation Bill,42558,2020
LB912,Brandt,Select File,Adopt the County Court Special Proceedings Act and change certain procedures relating to civil actions,41059,2020
LB913,McDonnell,Referral,"Change arson, trespass, and graffiti provisions",41021,2020
LB914,Hunt,Referral,"Change rental deposit, damage, and notice of termination provisions under the Mobile Home Landlord and Tenant Act",41077,2020
LB915,Hunt,Referral,Change the minimum wage for persons compensated by way of gratuities,40692,2020
LB916,Lathrop,Referral,Appropriate funds to the Department of Correctional Services for a community corrections facility,41397,2020
LB917,Wayne,Referral,Provide for a diabetes pilot study,41014,2020
LB918,Wayne,Select File,Create the Commission on African American Affairs and require a study,41313,2020
LB918A,Wayne,Select File,Appropriation Bill,42546,2020
LB919,Wayne,Referral,Change requirements for approval or denial of licenses or licensing agreements under the Nebraska Hemp Farming Act,40727,2020
LB920,Groene,General File,"Change provisions for the distribution of lottery funds used for education, transfer powers and duties, and create new funds",40955,2020
LB921,Hilkemann,Referral,Provide for The Good Life Is Outside Plates,41360,2020
LB922,Kolterman,Referral,Require electronic issuance of prescriptions for controlled substances as prescribed,41345,2020
LB923,Lindstrom,General File,Change sales tax provisions relating to gross receipts,41226,2020
LB924,Chambers,Final Reading,Change provisions relating to racial profiling and require law enforcement training,40704,2020
LB925,Chambers,Referral,Change provisions relating to standing to file a petition for a declaratory judgment,40899,2020
LB926,Business and Labor Committee,General File,Change provisions relating to violations of the Employee Classification Act,40871,2020
LB927,Business and Labor Committee,General File,Provide for payment of claims against the state,41283,2020
LB928,Business and Labor Committee,Referral,Deny claims against the state,41284,2020
LB929,Lindstrom,General File,Provide an exemption to the Nebraska Real Estate License Act,41175,2020
LB930,Briese,Referral,Require a minimum amount of tax relief under the Property Tax Credit Act,41364,2020
LB931,Halloran,Select File,Change a harvested products maximum weight overload exception under the Nebraska Rules of the Road,41151,2020
LB932,Wishart,Referral,Require expansion of the medical assistance program as prescribed,40818,2020
LB933,Crawford,General File,Change provisions relating to discontinuance of utility service,40755,2020
LB934,Morfeld,Referral,Change provisions relating to the practice of law and admission to the Nebraska bar,41400,2020
LB935,Hunt,Referral,Change the Nebraska Political Accountability and Disclosure Act to authorize expenditures for an officeholder's child care services,40691,2020
LB936,Hunt,Referral,Change the Nebraska Political Accountability and Disclosure Act to authorize expenditures for conference expenses for certain members of an officeholder's family,40690,2020
LB937,Brewer,General File,Require the display of tribal flags in the Capitol,41233,2020
LB938,La Grone,Referral,Provide immunity for reliance upon acknowledged power of attorney,41035,2020
LB939,Williams,General File,Change provisions under the Collection Agency Act,41280,2020
LB940,Pansing Brooks,Referral,Change a provision regarding the sealing of juvenile records,40986,2020
LB941,Hunt,Referral,Create the Nebraska Youth in Care Bill of Rights,41079,2020
LB942,Hunt,Referral,Provide for Support the Arts license plates,41234,2020
LB943,Hunt,Referral,Provide duties for the Nebraska Arts Council regarding creative districts,41235,2020
LB944,Geist,Final Reading,"Change and provide provisions for REAL ID, motor vehicle fees, federal references, handicapped parking permits, junked vehicles, odometers, destroyed vehicles, the International Registration Plan, license plates, electronic delivery of operator’s licenses and ID cards, CDL’s, point system, vehicle length and weight limits; ATV’s and UTV’s, the International Tax Agreement Act, the unified carrier registration plan and agreement, and civil penalties",40896,2020
LB944A,Geist,General File,Appropriation Bill,42543,2020
LB945,Cavanaugh,Referral,Require a report on untested sexual assault evidence collection kits,41148,2020
LB946,Briese,Referral,Change the sales tax rate and impose sales tax on additional services,40707,2020
LB947,Erdman,Withdrawn,Change provisions relating to all-terrain vehicles and utility-type vehicles,41342,2020
LB948,Crawford,Referral,Change provisions relating to insurance coverage for mammography,40906,2020
LB949,Bolz,Referral,Limit the amount an insured individual pays for prescription insulin drugs,40720,2020
LB950,Murman,Referral,Change eligibility requirements for the Access College Early Scholarship Program,40860,2020
LB951,Bolz,Referral,Change elements of claims under the Nebraska Claims for Wrongful Conviction and Imprisonment Act,40996,2020
LB952,Wishart,Referral,Provide for a new homestead exemption,41298,2020
LB953,Wishart,Withdrawn,Prohibit certain public entities from charging a fee for adoption or purchase of a dog or cat by a veteran,40966,2020
LB954,Lindstrom,General File,Change insurance provisions relating to fees for dental services,41223,2020
LB955,Walz,Referral,Change provisions relating to eligibility for medical assistance,40747,2020
LB956,Walz,General File,Provide duties for managed care organizations under the Medical Assistance Act,40963,2020
LB957,Walz,General File,Change quorum requirements for city councils of cities of the first and second class,41056,2020
LB958,Cavanaugh,Referral,Change provisions relating to possession or purchase of a firearm by a person convicted of misdemeanor domestic violence or subject to any protection order,40820,2020
LB959,Vargas,Referral,Limit habitual criminal enhancement to violent felonies,41440,2020
LB960,Friesen,Referral,Change accounting of income provisions and provide a requirement for use of funds under the Municipal Proprietary Function Act,41303,2020
LB961,Friesen,General File,Adopt the Peer-to-Peer Vehicle Sharing Program Act,40987,2020
LB962,Hunt,Final Reading,Adopt the Nebraska Fair Pay to Play Act,40882,2020
LB963,Brewer,Final Reading,Change workers' compensation provisions for injuries to first responders and frontline state employees and burial expenses,40792,2020
LB963A,Brewer,Final Reading,Appropriation Bill,42212,2020
LB964,McDonnell,Referral,Provide for an acknowledgment of maternity,41007,2020
LB965,McDonnell,Select File,"Recognize American Sign Language, provide for the teaching of American Sign Language in schools and postsecondary educational institutions, and establish a language assessment program for children who are deaf or hard of hearing",41199,2020
LB965A,McDonnell,Select File,Appropriation Bill,42605,2020
LB966,DeBoer,Referral,Adopt the Uniform Wills Recognition Act (1977),40802,2020
LB967,DeBoer,Referral,Change provisions regarding bullying prevention and education,41062,2020
LB968,McCollister,Referral,Change requirements for hearings before the Board of Pardons,41337,2020
LB969,Wayne,Referral,Change provisions relating to video depositions of child victims and child witnesses,40736,2020
LB970,Wayne,Referral,Limit the amount an insured individual pays for prescription insulin drugs,40711,2020
LB971,Wayne,Referral,Redefine a lottery to include wagers made on the outcome of an authorized sporting event,40729,2020
LB972,Brandt,General File,Change germination seed testing provisions under the Nebraska Seed Law,41045,2020
LB973,Kolowski,Referral,Adopt the Homeowner Association Act,40981,2020
LB974,Revenue Committee,General File,Change taxation and school funding provisions,41351,2020
LB975,Geist,Referral,Change provisions relating to reports of child abuse or neglect,40995,2020
LB976,Bolz,General File,Redefine handicapped or disabled person for purposes of handicapped or disabled parking permits,41401,2020
LB977,Bolz,General File,Change provisions relating to the case management lead agency model pilot project,41289,2020
LB978,Murman,Referral,"Provide for county, city, and village jail reimbursement",41073,2020
LB979,Morfeld,Referral,Appropriate funds to the Department of Transportation,41410,2020
LB980,Brandt,Referral,Change provisions of the Nebraska Lottery and Raffle Act,41344,2020
LB981,Hunt,Referral,Provide for applicability of provisions regarding state contracts for services to certain state entities,41309,2020
LB982,"Hansen, M.",Referral,Change the prohibition on use of state funds for advertising or promotional materials,41163,2020
LB983,Crawford,Referral,Eliminate a penalty relating to speeding,41071,2020
LB984,Hunt,General File,"Provide deadlines for filling vacancies on certain city or village boards, authorities, and agencies",40862,2020
LB985,Pansing Brooks,Referral,Provide for Class ICA and IDA felony classifications and change penalties,41330,2020
LB986,Pansing Brooks,Referral,Prescribe requirements for public colleges and universities regarding criminal history and juvenile court record information,41140,2020
LB987,Pansing Brooks,Referral,Impose sales and use tax on dating and escort services and provide for the use of the revenue,40994,2020
LB988,Hilgers,Referral,Provide restrictions on business entity ownership with respect to certain professional services,40948,2020
LB989,Wayne,Referral,Impose sales and use taxes on digital advertisements,41341,2020
LB990,Wayne,Referral,Adopt the Games of Skill Act and use proceeds to reduce school district property tax levies,41010,2020
LB991,Halloran,Referral,Create the offense of sexual assault of a student and prohibit related enticement conduct by school officials,40661,2020
LB992,Friesen,Referral,Adopt the Broadband Internet Service Infrastructure Act and provide for certain broadband and Internet-related services,41269,2020
LB993,Lowe,General File,Change provisions regarding the number of city council members in cities adopting the city manager plan of government ,41055,2020
LB994,Murman,Referral,Adopt the Organ Transplant Fairness Act,40908,2020
LB995,Gragert,Referral,"Appropriate funds to the Commission on Public Advocacy,2020
,2020
",41395,2020
LB996,Brandt,Final Reading,Provide for a government Internet network use policy for the Legislature and create the Broadband Data Improvement Program ,41109,2020
LB997,Morfeld,Final Reading,Adopt the Out-of-Network Emergency Medical Care Act,41477,2020
LB998,Murman,General File,"Require behavioral awareness and intervention training and points of contact, transfer funds, and change the Tax Equity and Educational Opportunities Support Act",41160,2020
LB999,Wayne,Referral,Require cities and villages to pay for appointed counsel for prosecutions and adjudications for violation of city and village ordinances,41430,2020
LB1000,Blood,Withdrawn,Direct any registration fees from fantasy contests to early childhood care and education workforce,40842,2020
LB1001,Crawford,General File,Require suicide prevention phone numbers on student identification cards,40838,2020
LB1002,Bostelman,General File,Change provisions relating to wholesale drug distribution for emergency medical reasons,41111,2020
LB1003,Walz,Select File,Change provisions relating to cities and villages,41482,2020
LB1004,Lathrop,Referral,Change provisions relating to parole eligibility,41371,2020
LB1005,McCollister,Referral,Change provisions regarding nomination and election of certain partisan candidates,40921,2020
LB1006,"Hansen, M.",Referral,Change provisions relating to garnishment,41332,2020
LB1007,"Hansen, M.",Referral,Change provisions relating to competency to stand trial and be sentenced,41066,2020
LB1008,Speaker Scheer,Select File,"Provide, change, and eliminate provisions relating to appropriations",41164,2020
LB1009,Speaker Scheer,Select File,"Provide for, change, and eliminate fund transfers, change use of funds, and eliminate a fund",41166,2020
LB1010,Speaker Scheer,Referral,Change Cash Reserve Fund provisions,41165,2020
LB1011,Arch,Referral,Require certain hospitals to accept reimbursement from the medicare program,40903,2020
LB1012,La Grone,Referral,Change provisions relating to tax exemptions for property acquired by certain tax-exempt entities,41408,2020
LB1013,Linehan,General File,Change the cigarette tax and exempt certain  transactions ,41022,2020
LB1014,Lindstrom,Final Reading,Change provisions of the Multiple Employer Welfare Arrangement Act,41152,2020
LB1015,Briese,Referral,Provide for year-round daylight saving time,41141,2020
LB1016,"Hansen, M.",Final Reading,"Change provisions regarding the worker training program, the Nebraska Wage Payment and Collection Act, the Contractor Registration Act, and the Employee Classification Act and eliminate provisions regarding service letters, high voltage lines, and private employment companies",40826,2020
LB1017,Geist,Referral,Appropriate funds to the Supreme Court,41156,2020
LB1018,Vargas,Referral,Appropriate funds to the Department of Health and Human Services,41126,2020
LB1019,Vargas,Referral,Appropriate funds to the Department of Health and Human Services,41129,2020
LB1020,Vargas,Referral,Change provisions relating to discrimination under the Nebraska Fair Housing Act,41374,2020
