Document,Primary Introducer,Status,Description,Document ID
LB1,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal an obsolete section relating to a report relating to human trafficking,18251
LB2,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal obsolete sections relating to appropriations,18381
LB3,Krist,Passed,"Provide penalty for fraudulent filings, change nonconsensual common-law lien provisions, and adopt the Commercial Real Estate Broker Lien Act",18145
LB4,Krist,Indefinitely postponed,Change Nebraska Health Care Cash Fund transfer provisions,18233
LB5,Krist,Indefinitely postponed,Exempt social security benefits and military retirement income from income taxation,18128
LB6,Krist,Passed,Create the Nebraska Commission on Problem Gambling,18041
LB6A,Krist,Passed,Appropriation Bill,19535
LB7,Krist,Passed,Change and eliminate provisions relating to signatures and seals under the Engineers and Architects Regulation Act,18419
LB8,Krist,Indefinitely postponed,Provide for coverage of children's day services under medicaid and social services,18294
LB9,Krist,Indefinitely postponed,Change provisions relating to transportation for students in learning communities,18371
LB10,Krist,Indefinitely postponed,Change and eliminate provisions relating to occupant protection systems,17860
LB11,Krist,Indefinitely postponed,Change provisions relating to surcharges for 911 service,17877
LB12,Krist,Indefinitely postponed,Change product liability action statute of limitations,17884
LB13,Krist,Indefinitely postponed,Require radon resistant construction for residential construction and create a building codes task force,17921
LB14,Krist,Indefinitely postponed,Adopt the Elementary and Secondary Educational Opportunity Act and provide for income tax credits,17975
LB15,Krist,Indefinitely postponed,Change Pesticide Act provisions,18203
LB16,Christensen,Passed,Change provisions relating to title to Champion Mill State Historical Park,17935
LB17,Nordquist,Indefinitely postponed,Exempt social security benefits from state income taxation,18400
LB18,Nordquist,Indefinitely postponed,Prohibit members of the Legislature and certain constitutional officers from participating in the state insurance program,18351
LB19,Nordquist,Indefinitely postponed,Change provisions of the Conveyance Safety Act,18483
LB20,Nordquist,Indefinitely postponed,State intent relating to appropriations for the rural health provider incentive program,18537
LB21,Lathrop,Passed,Eliminate a Nebraska Workers' Compensation Act sunset provision for certain benefits,18577
LB22,Hadley,Indefinitely postponed,Change Parenting Act provisions relating to parenting plans,18358
LB23,Hadley,Passed,Change ICF/MR reimbursement provisions and mental retardation terminology,18106
LB23A,Hadley,Passed,Appropriation Bill,20408
LB24,Hadley,Passed,Update references to the Internal Revenue Code,18505
LB25,Hadley,Indefinitely postponed,Change provisions relating to the cigarette tax and the tobacco products tax,18039
LB26,Hadley,Indefinitely postponed,Change the commission allowed to stamping agents for the cigarette tax,18040
LB27,Hadley,Passed,Change experience requirements under the Public Accountancy Act,18038
LB28,Hadley,Passed,Change a late filing penalty relating to personal property tax,18154
LB29,Hadley,Passed,Change and eliminate provisions relating to tax lists and provide a duty for county treasurers for recording tax assessments and collections,18574
LB30,Hadley,Passed,Change distribution of motor vehicle certificate of title fees,17995
LB31,Hadley,Passed,Change provisions relating to parking permits for temporarily handicapped or disabled persons,17990
LB32,Hadley,Passed,Change provisions relating to historical vehicle license plates,17989
LB33,Hadley,Passed,"Authorize tax collection agreements and change lien, levy, and penalty provisions",18315
LB34,Hadley,Passed,Change provisions of the Nebraska Advantage Act,18316
LB35,Hadley,Passed,Adopt and update references to certain federal provisions related to motor vehicles,17991
LB36,Wightman,Passed,Change an exemption to the documentary stamp tax,18605
LB37,Wightman,Indefinitely postponed,Change provisions relating to powers of personal representative with respect to a decedent's Internet sites,18043
LB38,Wightman,Passed,Change provisions relating to testamentary powers,18044
LB39,Harms,Passed,Change and eliminate references to the Legislative Performance Audit Section,18281
LB40,Harms,Passed,Update references to Government Auditing Standards,17964
LB41,Cook,Indefinitely postponed,Provide for permanent early voting request list and return of early voting ballots to polling places,18276
LB42,Cook,Passed,Change credentialing requirements for administrators of facilities for persons with head injuries,18277
LB43,Cook,Indefinitely postponed,Change provisions relating to a property tax exemption,18546
LB44,Ashford,Passed,Change criminal penalty and parole provisions relating to offenses committed by persons under eighteen years of age,17883
LB45,Ashford,Indefinitely postponed,Change judge eligibility requirements for the Court of Appeals,18449
LB46,Ashford,Indefinitely postponed,Provide for consolidation and coordination of crime laboratories,18229
LB47,Ashford,Indefinitely postponed,Change provisions relating to career academies,18065
LB48,Ashford,Indefinitely postponed,Change provisions relating to housing agencies,18286
LB49,Ashford,Indefinitely postponed,Require a joint committee to develop a plan for creating a joint housing agency,18228
LB50,Ashford,Indefinitely postponed,Prohibit unreasonable placement of a firearm where a minor may unlawfully possess it,18446
LB51,Ashford,Indefinitely postponed,Change provisions relating to publication of court opinions,18298
